,Unnamed: 0,Question_url,Question,Followers,Last_followed_date,Views,answers,merged
18,424,https://www.quora.com/Which-companys-interviews-are-more-difficult-Facebook-Google-Apple-or-Dropbox-for-Software-engineering-and-the-like-Rank-their-difficulty,"Which company's interviews are more difficult: Facebook, Google, Apple or Dropbox for Software engineering and the like? Rank their difficulty.",119,2022-01-10,685700.0,14,0
19,401,https://www.quora.com/How-is-life-after-leaving-Google-Why-do-people-decide-to-leave,How is life after leaving Google? Why do people decide to leave?,117,2022-09-03,1700000.0,9,0
20,10,https://www.quora.com/What-programming-languages-are-used-at-Amazon,What programming languages are used at Amazon?,110,2022-08-09,277700.0,15,9
21,52,https://www.quora.com/Why-do-so-many-people-dislike-working-at-Amazon,Why do so many people dislike working at Amazon?,109,2021-12-16,1500000.0,41,0
22,233,https://www.quora.com/Who-owns-Google,Who owns Google?,105,2022-08-25,222200.0,63,66
23,368,https://www.quora.com/What-is-the-career-progression-at-Google-like,What is the career progression at Google like?,104,2018-07-24,27100.0,1,0
24,372,https://www.quora.com/Why-are-jobs-at-Google-Facebook-Amazon-seen-as-equally-appealling-while-getting-into-Google-is-very-unlikely-and-getting-into-Amazon-is-cake,"Why are jobs at Google, Facebook, Amazon seen as equally appealling while getting into Google is very unlikely and getting into Amazon is cake?",102,2022-08-28,869500.0,13,0
25,364,https://www.quora.com/Why-isnt-working-at-Amazon-considered-to-be-as-prestigious-as-working-in-Facebook-Google-Apple,"Why isn't working at Amazon considered to be as ""prestigious"" as working in Facebook/Google/Apple?",102,2022-01-11,684800.0,23,0
26,43,https://www.quora.com/What-are-some-amazing-things-that-Amazon-is-doing-right-now,What are some amazing things that Amazon is doing right now?,102,2021-07-28,1000000.0,48,0
27,376,https://www.quora.com/Why-would-an-engineer-want-to-work-at-Microsoft-instead-of-Facebook-and-Google,Why would an engineer want to work at Microsoft instead of Facebook and Google?,90,2022-01-07,744000.0,15,0
28,476,https://www.quora.com/How-does-it-feel-to-work-for-Microsoft,How does it feel to work for Microsoft?,85,2022-08-30,544000.0,14,17
29,361,https://www.quora.com/I-got-an-offer-from-Microsoft-and-Amazon-in-Seattle-upon-my-MS-CS-graduation-The-salaries-are-pretty-similar-Which-offer-should-I-take,I got an offer from Microsoft and Amazon in Seattle upon my MS CS graduation. The salaries are pretty similar. Which offer should I take?,80,2022-06-20,1600000.0,37,0
30,244,https://www.quora.com/What-time-does-Sergey-Brin-start-work-in-Google,What time does Sergey Brin start work in Google?,79,2014-12-19,11200.0,1,0
31,541,https://www.quora.com/What-are-applications-of-data-science-and-machine-learning-in-the-oil-and-gas-industries,What are applications of data science and machine learning in the oil and gas industries?,78,2021-07-29,26900.0,7,0
32,8,https://www.quora.com/Is-being-an-Amazon-employee-as-bad-as-some-people-say-it-is,Is being an Amazon employee as bad as some people say it is?,78,2022-08-27,2600000.0,21,0
33,533,https://www.quora.com/If-the-culture-at-Amazon-is-so-cutthroat-why-do-so-many-people-still-choose-to-work-there,"If the culture at Amazon is so cutthroat, why do so many people still choose to work there?",77,2022-09-05,630500.0,25,0
34,556,https://www.quora.com/What-is-cloud-computing-Why-is-it-used-and-for-what-purposes,What is cloud computing? Why is it used and for what purposes?,76,2022-05-24,78400.0,50,19
35,5,https://www.quora.com/Was-it-a-mistake-that-Jeff-Bezos-got-married,Was it a mistake that Jeff Bezos got married?,75,2021-04-13,2500000.0,31,0
36,225,https://www.quora.com/How-do-CEOs-like-Larry-Page-Jeff-Bezos-Mark-Zuckerberg-etc-keep-their-knowledge-skillset-current,"How do CEO's like Larry Page, Jeff Bezos, Mark Zuckerberg, etc. keep their knowledge skillset current?",74,2017-12-07,14000.0,2,0
37,22,https://www.quora.com/Does-a-software-engineer-at-Google-or-Facebook-or-Amazon-have-%E2%80%98what-the-heck%E2%80%99-moments-when-working-on-fellow-members%E2%80%99-code-If-yes-how-frequent,"Does a software engineer at Google or Facebook or Amazon have ‘what the heck’ moments when working on fellow members’ code? If yes, how frequent?",74,2022-09-21,166500.0,16,0
38,435,https://www.quora.com/Which-are-some-of-the-best-Pre-IPO-companies-to-join-in-Silicon-Valley,Which are some of the best Pre-IPO companies to join in Silicon Valley?,72,2020-05-22,33800.0,2,0
39,362,https://www.quora.com/Which-provides-a-better-environment-to-work-Microsoft-or-Google,Which provides a better environment to work: Microsoft or Google?,70,2021-03-19,153200.0,12,8
40,532,https://www.quora.com/Why-is-the-attrition-rate-so-high-at-Amazon-Is-it-true-that-many-people-have-seen-employees-crying-at-their-desks-while-working-at-Amazon,Why is the attrition rate so high at Amazon? Is it true that many people have seen employees crying at their desks while working at Amazon?,70,2022-05-24,1600000.0,15,0
41,427,https://www.quora.com/Why-aren%E2%80%99t-there-interns-at-Netflix,Why aren’t there interns at Netflix?,68,2021-01-19,223300.0,13,0
42,386,https://www.quora.com/Between-Google-and-Amazon-which-company-is-better-to-work-for-as-a-software-engineer-Why,"Between Google and Amazon, which company is better to work for as a software engineer? Why?",67,2022-05-23,448700.0,12,0
43,45,https://www.quora.com/Is-it-possible-to-work-9-5-in-FAANG-companies,Is it possible to work 9-5 in FAANG companies?,63,2022-08-11,902600.0,20,0
44,467,https://www.quora.com/What-are-some-things-new-employees-should-know-going-into-their-first-day-at-Microsoft,What are some things new employees should know going into their first day at Microsoft?,62,2021-07-15,67100.0,6,0
45,74,https://www.quora.com/What-did-you-do-after-getting-fired-from-Amazon,What did you do after getting fired from Amazon?,61,2022-05-02,781900.0,10,0
46,517,https://www.quora.com/As-an-Amazon-warehouse-worker-what-is-your-experience-of-working-there,"As an Amazon warehouse worker, what is your experience of working there?",61,2022-01-18,224000.0,14,11
47,81,https://www.quora.com/How-where-do-e-commerce-websites-like-Amazon-get-product-images,How/where do e-commerce websites like Amazon get product images?,61,2018-11-25,405600.0,17,0
48,412,https://www.quora.com/Why-would-an-engineer-want-to-work-at-Google-instead-of-Apple-What-is-the-difference-between-the-caliber-of-engineers-at-Apple-as-opposed-to-Google,Why would an engineer want to work at Google instead of Apple? What is the difference between the caliber of engineers at Apple as opposed to Google?,58,2021-08-23,30100.0,5,0
49,12,https://www.quora.com/How-many-practice-problems-did-you-do-before-successfully-getting-a-job-at-Google-Facebook-Amazon-Microsoft,How many practice problems did you do before successfully getting a job at Google/Facebook/Amazon/Microsoft?,57,2020-10-01,110000.0,5,0
50,416,https://www.quora.com/How-does-working-at-Apple-and-Google-compare,How does working at Apple and Google compare?,56,2019-02-11,18800.0,2,0
51,358,https://www.quora.com/Is-working-for-Microsoft-less-prestigious-than-Google-Facebook-Apple-etc,"Is working for Microsoft less prestigious than Google, Facebook, Apple, etc.?",56,2022-05-23,395400.0,21,0
52,590,https://www.quora.com/What-will-artificial-intelligence-never-be-able-to-do,What will artificial intelligence never be able to do?,56,2019-11-12,33000.0,41,18
53,61,https://www.quora.com/Why-would-someone-choose-not-to-work-at-one-of-the-big-five-tech-companies-Google-Facebook-Microsoft-Amazon-and-Apple,"Why would someone choose not to work at one of the big five tech companies (Google, Facebook, Microsoft, Amazon, and Apple)?",55,2022-05-20,367200.0,32,0
54,66,https://www.quora.com/If-you-were-a-bright-young-student-graduating-from-a-major-university-with-a-degree-in-computer-science-today-would-you-rather-work-for-Apple-Google-Amazon-or-Microsoft,"If you were a bright, young student graduating from a major university with a degree in computer science today, would you rather work for Apple, Google, Amazon, or Microsoft?",54,2020-09-21,183700.0,100,0
55,388,https://www.quora.com/Why-is-working-for-Apple-Facebook-and-Google-so-much-better-than-working-for-Amazon,"Why is working for Apple, Facebook, and Google so much better than working for Amazon?",53,2022-02-05,1200000.0,11,0
56,6,https://www.quora.com/How-do-you-feel-after-changing-from-working-in-Microsoft-to-Google-Amazon-Facebook-or-vice-versa,How do you feel after changing from working in Microsoft to Google/Amazon/Facebook or vice versa?,52,2022-08-31,205900.0,3,0
57,378,https://www.quora.com/Among-Microsoft-Google-Amazon-Facebook-which-company-has-the-best-and-the-worst-work-life-balance-for-employees,"Among Microsoft, Google, Amazon, Facebook which company has the best (and the worst) work life balance for employees?",52,2020-09-13,48500.0,9,0
58,516,https://www.quora.com/How-do-you-survive-working-at-Amazon,How do you survive working at Amazon?,52,2022-04-20,208400.0,11,0
59,63,https://www.quora.com/What-do-you-do-if-you-receive-the-wrong-Amazon-package,What do you do if you receive the wrong Amazon package?,51,2022-08-25,206200.0,10,0
60,219,https://www.quora.com/Who-has-been-more-important-to-the-rise-of-Google-Larry-Page-or-Sergey-Brin,Who has been more important to the rise of Google: Larry Page or Sergey Brin?,49,2022-07-23,19800.0,5,2
61,34,https://www.quora.com/Why-does-Jeff-Bezos-only-own-16-of-Amazon,Why does Jeff Bezos only own 16% of Amazon?,49,2021-12-12,615400.0,9,0
62,488,https://www.quora.com/Which-of-these-two-would-be-better-for-a-fresher-DE-Shaw-Software-or-Microsoft-IDC-in-India-or-Amazon-India,Which of these two would be better for a fresher: DE Shaw Software or Microsoft IDC in India or Amazon India?,48,2021-08-16,125500.0,3,0
63,398,https://www.quora.com/How-hard-is-it-to-get-a-job-at-Microsoft,How hard is it to get a job at Microsoft?,48,2022-08-05,181800.0,8,6
64,62,https://www.quora.com/How-is-Amazon-leading-the-tech-giants-How-do-they-differ-from-Google-or-Microsoft,How is Amazon leading the tech giants? How do they differ from Google or Microsoft?,47,2021-06-21,133500.0,3,0
65,472,https://www.quora.com/What-is-it-like-to-work-at-Microsoft-in-India,What is it like to work at Microsoft in India?,47,2022-07-06,85600.0,3,2
66,502,https://www.quora.com/Is-it-true-that-Cisco-has-a-ruthless-and-cutthroat-sales-culture,Is it true that Cisco has a ruthless and cutthroat sales culture?,47,2021-10-28,539200.0,15,0
67,527,https://www.quora.com/Did-you-accept-Amazons-pay-to-quit-offer-If-not-have-you-ever-been-tempted,"Did you accept Amazon's 'pay to quit' offer? If not, have you ever been tempted?",46,2020-10-02,2200000.0,5,0
68,30,https://www.quora.com/Why-did-GitHub-sell-their-company-to-Microsoft-instead-of-Amazon-or-Google,Why did GitHub sell their company to Microsoft instead of Amazon or Google?,46,2022-08-30,659700.0,8,0
69,540,https://www.quora.com/What-are-some-interesting-uses-of-artificial-intelligence-in-the-oil-and-gas-industry,What are some interesting uses of artificial intelligence in the oil and gas industry?,40,2020-02-20,10400.0,8,2
70,23,https://www.quora.com/Is-Amazon-a-second-tier-tech-company,Is Amazon a second tier tech company?,40,2018-04-10,415600.0,16,0
71,82,https://www.quora.com/What-kind-of-company-could-rival-Amazon-How-would-they-do-it,What kind of company could rival Amazon? How would they do it?,40,2022-02-07,319200.0,38,0
72,47,https://www.quora.com/Do-big-companies-like-Google-and-Amazon-fire-software-developers-when-there-is-a-buggy-release,Do big companies like Google and Amazon fire software developers when there is a buggy release?,40,2020-10-19,1200000.0,59,0
73,35,https://www.quora.com/What-did-Jeff-Bezos-do-to-set-Amazon-apart-from-all-the-other-early-dot-com-companies,What did Jeff Bezos do to set Amazon apart from all the other early dot-com companies?,39,2022-06-05,169600.0,12,0
74,222,https://www.quora.com/Are-Larry-Page-and-Sergey-Brin-intelligent-enough-to-pass-an-interview-at-Google,Are Larry Page and Sergey Brin intelligent enough to pass an interview at Google?,37,2021-04-22,302700.0,10,0
75,444,https://www.quora.com/What-is-the-average-salary-for-a-software-engineer-working-at-Apple,What is the average salary for a software engineer working at Apple?,37,2022-09-17,164300.0,11,7
76,437,https://www.quora.com/Which-are-the-best-tech-companies-to-work-for-apart-from-Google-Microsoft-Apple-and-Facebook,"Which are the best tech companies to work for apart from Google, Microsoft, Apple, and Facebook?",36,2020-03-24,18900.0,4,0
77,220,https://www.quora.com/Why-hasnt-Larry-Page-acquired-as-much-fame-as-Mark-Zuckerberg-Steve-Jobs-or-Bill-Gates,"Why hasn't Larry Page acquired as much fame as Mark Zuckerberg, Steve Jobs, or Bill Gates?",36,2020-03-02,91000.0,12,0
78,4,https://www.quora.com/Why-did-the-founders-of-Microsoft-Bill-Gates-and-Google-Larry-Page-and-Sergey-Brin-retire-from-their-own-companies-so-young-while-Jeff-Bezos-still-runs-Amazon-for-the-foreseeable-future,Why did the founders of Microsoft (Bill Gates) and Google (Larry Page and Sergey Brin) retire from their own companies so young while Jeff Bezos still runs Amazon for the foreseeable future?,35,2021-03-06,234300.0,11,0
79,64,https://www.quora.com/Do-very-senior-software-architects-in-Google-Amazon-Facebook-Microsoft-still-write-code,Do very senior software architects in Google/Amazon/Facebook/Microsoft still write code?,34,2022-07-14,525100.0,9,0
80,461,https://www.quora.com/What-is-the-best-Microsoft-employee-perk-and-why,"What is the best Microsoft employee perk, and why?",33,2021-06-29,50600.0,9,0
81,387,https://www.quora.com/How-hard-is-it-to-transfer-from-Amazon-to-Google,How hard is it to transfer from Amazon to Google?,32,2016-08-23,47200.0,2,0
82,442,https://www.quora.com/What-is-the-salary-of-software-engineer-in-Apple-Hyderabad,What is the salary of software engineer in Apple Hyderabad?,32,2021-01-05,111800.0,2,0
83,42,https://www.quora.com/How-would-Amazon-Books-Amazons-new-physical-bookstore-be-different-from-conventional-bookstores,"How would Amazon Books, Amazon's new physical bookstore, be different from conventional bookstores?",32,2019-05-30,49700.0,3,0
84,430,https://www.quora.com/Why-does-Netflix-offer-the-highest-salaries-in-the-industry,Why does Netflix offer the highest salaries in the industry?,32,2021-06-04,966200.0,6,0
85,141,https://www.quora.com/Is-it-worth-my-time-to-start-reading-the-Wheel-Of-Time-series,Is it worth my time to start reading the Wheel Of Time series?,32,2021-12-18,321000.0,47,5
86,55,https://www.quora.com/To-what-extent-are-Amazon-and-Google-competitors,To what extent are Amazon and Google competitors?,31,2020-10-12,83800.0,5,4
87,53,https://www.quora.com/Why-is-recursion-used-so-commonly-in-software-engineering-interview-questions-at-software-companies-like-Google-Facebook-and-Amazon-but-is-so-rarely-used-in-real-work,"Why is recursion used so commonly in software engineering interview questions at software companies like Google, Facebook, and Amazon, but is so rarely used in real work?",31,2020-01-27,156900.0,66,0
88,434,https://www.quora.com/Are-there-any-Silicon-Valley-pre-IPO-tech-companies-that-are-more-desirable-to-work-for-than-the-giants-Google-Facebook-Apple-and-if-so-why,"Are there any Silicon Valley pre-IPO tech companies that are more desirable to work for than the giants (Google, Facebook, Apple), and if so, why?",30,2017-03-04,9000.0,3,0
89,26,https://www.quora.com/How-was-Jeff-Bezos-able-to-keep-75-of-his-stock-in-Amazon-after-finalizing-his-divorce,How was Jeff Bezos able to keep 75% of his stock in Amazon after finalizing his divorce?,30,2021-04-22,1400000.0,15,2
90,271,https://www.quora.com/Why-is-Larry-Page-making-more-money-than-Sergey-Brin,Why is Larry Page making more money than Sergey Brin?,29,2019-07-14,19700.0,1,0
91,382,https://www.quora.com/How-is-the-work-life-in-Microsoft-Hyderabad-MSGD-What-are-the-perks-available-for-full-time-employees-in-Microsoft-India,How is the work life in Microsoft Hyderabad (MSGD)? What are the perks available for full time employees in Microsoft India?,29,2021-09-21,108900.0,1,0
92,528,https://www.quora.com/Why-did-you-quit-your-job-at-Amazon,Why did you quit your job at Amazon?,29,2022-04-20,796200.0,16,3
93,511,https://www.quora.com/How-good-is-Cisco-when-compared-to-other-big-companies,How good is Cisco when compared to other big companies?,28,2022-04-24,82600.0,4,0
94,33,https://www.quora.com/How-has-Amazon-FBA-changed-your-life,How has Amazon FBA changed your life?,28,2020-10-19,77600.0,6,0
95,359,https://www.quora.com/Does-Microsoft-offer-less-salary-than-Google-or-Facebook-to-a-software-engineer,Does Microsoft offer less salary than Google or Facebook to a software engineer?,27,2020-03-21,204400.0,2,0
96,477,https://www.quora.com/How-does-it-feel-to-be-a-Microsoft-employee,How does it feel to be a Microsoft employee?,27,2017-10-31,12600.0,3,0
97,374,https://www.quora.com/Google-VS-Amazon-Which-one-is-more-competitive-to-get-hired,Google VS Amazon. Which one is more competitive to get hired?,27,2022-04-06,426700.0,4,0
98,628,https://www.quora.com/What-happens-in-the-hours-days-and-months-after-the-announce-by-a-public-company-e-g-Google-that-theyve-achieved-Artificial-General-Intelligence,"What happens in the hours, days and months after the announce by a public company (e.g. Google) that they've achieved Artificial General Intelligence?",27,2016-03-20,8700.0,7,0
99,140,https://www.quora.com/Which-book-series-is-better-more-mindblowing-Robert-Jordans-Wheel-of-Time-or-J-R-R-Tolkiens-Lord-of-the-Rings-and-why,"Which book series is better -- more mindblowing -- Robert Jordan's Wheel of Time or J.R.R. Tolkien's Lord of the Rings, and why?",27,2022-04-19,78100.0,43,3
100,84,https://www.quora.com/Does-Amazon-com-ship-packages-to-PO-Boxes,Does Amazon.com ship packages to PO Boxes?,26,2021-07-29,148600.0,20,10
101,478,https://www.quora.com/Why-do-people-like-working-at-Microsoft,Why do people like working at Microsoft?,25,2021-10-04,315600.0,11,0
102,266,https://www.quora.com/Why-is-Larry-Page-the-CEO-of-Google-instead-of-Sergey-Brin,Why is Larry Page the CEO of Google instead of Sergey Brin?,24,2019-05-13,10500.0,1,0
103,463,https://www.quora.com/What-extra-benefits-Microsoft-employees-get-other-than-salary,What extra benefits Microsoft employees get other than salary?,24,2022-04-09,217300.0,5,0
104,272,https://www.quora.com/Who-was-the-worlds-richest-man-before-Bill-Gates,Who was the world's richest man before Bill Gates?,24,2019-11-12,25900.0,7,2
105,578,https://www.quora.com/What-is-computer-technology,What is computer technology?,24,2022-02-25,108900.0,24,7
106,247,https://www.quora.com/Has-Sergey-Brin-mostly-checked-out-and-doesnt-really-run-anything-at-Google-anymore,Has Sergey Brin mostly checked out and doesn't really run anything at Google anymore?,23,2022-07-23,405100.0,6,0
107,211,https://www.quora.com/Why-is-it-that-Google-co-founders-Larry-Page-and-Sergey-Brin-are-not-as-popular-as-Steve-Jobs-Mark-Zuckerberg-and-Bill-Gates,"Why is it that Google co-founders, Larry Page and Sergey Brin are not as popular as Steve Jobs, Mark Zuckerberg and Bill Gates?",22,2021-03-22,240400.0,4,0
108,414,https://www.quora.com/Is-it-better-to-work-at-Google-or-Apple,Is it better to work at Google or Apple?,22,2021-08-23,13100.0,5,9
109,436,https://www.quora.com/Which-pre-IPO-companies-attract-the-best-software-engineering-talent-from-top-companies-like-Facebook-and-Google,Which pre-IPO companies attract the best software engineering talent from top companies like Facebook and Google?,21,2018-04-25,4200.0,1,0
110,80,https://www.quora.com/Why-is-Amazon-so-customer-focused,Why is Amazon so customer focused?,21,2018-10-28,144200.0,13,0
111,624,https://www.quora.com/Is-any-company-capable-of-overtaking-Google-as-the-leader-in-artificial-Intelligence,Is any company capable of overtaking Google as the leader in artificial Intelligence?,20,2018-07-09,4100.0,1,0
112,480,https://www.quora.com/What-is-the-on-boarding-process-like-for-new-employees-at-Microsoft,What is the on-boarding process like for new employees at Microsoft?,20,2018-03-20,35000.0,2,0
113,625,https://www.quora.com/Who-is-the-leader-in-artificial-intelligence,Who is the leader in artificial intelligence?,20,2017-05-17,20500.0,6,7
114,56,https://www.quora.com/Why-did-Jeff-Bezos-leave-Amazon,Why did Jeff Bezos leave Amazon?,20,2022-06-28,2400000.0,12,2
115,490,https://www.quora.com/unanswered/Whats-the-brutal-truth-about-salary-negotiations-at-Google-Facebook-Amazon-Apple-and-Microsoft,"What's the brutal truth about salary negotiations at Google, Facebook, Amazon, Apple, and Microsoft?",19,2021-01-20,4100.0,0,0
116,423,https://www.quora.com/What-companies-have-the-hardest-software-engineering-interviews,What companies have the hardest software engineering interviews?,19,2021-11-02,84900.0,7,0
117,451,https://www.quora.com/What-does-Tier-1-company-mean,"What does ""Tier 1 company"" mean?",19,2020-09-18,55000.0,7,0
118,21,https://www.quora.com/What-are-some-unusual-or-fun-things-you-can-do-with-Amazons-Alexa,What are some unusual or fun things you can do with Amazon's Alexa?,19,2021-07-13,32800.0,8,0
119,51,https://www.quora.com/What-stops-Walmart-from-beating-Amazon-in-online-shopping-%25F0%259D%2597%259C%25F0%259D%2597%25B3-%25F0%259D%2597%25AC%25F0%259D%2597%25BC%25F0%259D%2598%2582-%25F0%259D%2597%25B5%25F0%259D%2597%25AE%25F0%259D%2598%2583%25F0%259D%2597%25B2,What stops Walmart from beating Amazon in online shopping? ¿𝗜𝗳 𝗬𝗼𝘂 𝗵𝗮𝘃𝗲 𝗶𝘀𝘀𝘂𝗲 𝘄𝗶𝘁𝗵 𝘆𝗼𝘂𝗿 & ( WalMart )𝗖𝗢𝗡𝗧𝗔𝗖𝗧 𝗡𝗢𝗪  ((+𝟭(𝟴𝟮𝟴)𝟰𝟳𝟳-𝟰𝟮.𝟳𝟳 )) 𝗢𝘂𝗿 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹 WalMart 𝗖𝘂𝘀𝘁𝗼𝗺𝗲𝗿 𝗦𝗲𝗿𝘃𝗶𝗰𝗲 𝗣𝗵𝗼𝗻𝗲 𝗡𝘂𝗺𝗯𝗲𝗿?,19,2022-08-18,237000.0,12,0
120,419,https://www.quora.com/Why-do-I-never-hear-about-recent-college-graduates-going-to-work-for-Apple-I-went-to-a-top-school-in-the-US-and-cant-think-of-a-single-person-in-my-graduating-class-who-went-to-work-for-Apple-nor-can-I-think-of-anyone-who-did-an-internship-there,"Why do I never hear about recent college graduates going to work for Apple? I went to a top school in the US and can't think of a single person in my graduating class who went to work for Apple, nor can I think of anyone who did an internship there.",18,2016-09-28,44100.0,5,0
121,230,https://www.quora.com/Who-owns-Google-Why-are-they-not-famous-like-Mark-Zuckerberg-Steve-Jobs-Bill-Gates-etc,"Who owns Google? Why are they not famous like Mark Zuckerberg, Steve Jobs, Bill Gates, etc?",18,2020-07-30,114600.0,9,0
122,48,https://www.quora.com/What-were-the-most-ill-advised-products-to-sell-on-Amazon,What were the most ill-advised products to sell on Amazon?,17,2022-08-18,258800.0,7,0
123,264,https://www.quora.com/unanswered/How-much-of-Sergei-Brin-and-Larry-Pages-original-code-remains-part-of-Google,How much of Sergei Brin and Larry Page's original code remains part of Google?,16,2015-12-09,3700.0,0,0
124,629,https://www.quora.com/unanswered/Which-labs-are-pursuing-General-Artificial-Intelligence,Which labs are pursuing General Artificial Intelligence?,16,2020-01-18,1900.0,0,0
125,429,https://www.quora.com/Does-Netflix-have-an-internship-program,Does Netflix have an internship program?,16,2020-08-11,22700.0,3,0
126,70,https://www.quora.com/How-is-it-that-Amazon-doesnt-make-a-profit-yet-Jeff-Bezos-net-worth-is-in-the-billions,"How is it that Amazon doesn't make a profit, yet Jeff Bezos' net worth is in the billions?",15,2021-10-07,75700.0,9,0
127,281,https://www.quora.com/Is-it-true-that-Jeff-Bezos-has-cheated-his-wife-for-Lauren-Sanchez,Is it true that Jeff Bezos has cheated his wife for Lauren Sanchez?,14,2020-09-04,4400.0,1,5
128,496,https://www.quora.com/Why-is-Cisco-laying-off-a-massive-amount-of-people-every-now-and-then-almost-like-at-least-once-a-year,Why is Cisco laying off a massive amount of people every now and then (almost like at least once a year)?,14,2020-07-28,8100.0,3,0
129,468,https://www.quora.com/Is-Microsoft-a-good-place-to-work,Is Microsoft a good place to work?,14,2019-08-12,36600.0,7,5
130,256,https://www.quora.com/Why-did-Bill-Gates-Larry-Page-and-Sergey-Brin-all-give-up-day-to-day-control-of-their-behemoth-companies-like-Microsoft-and-Google-at-such-young-ages,"Why did Bill Gates, Larry Page, and Sergey Brin all give up day-to-day control of their behemoth companies like Microsoft and Google at such young ages?",14,2020-09-17,125200.0,8,0
131,29,https://www.quora.com/Do-companies-like-Google-Amazon-Facebook-and-Microsoft-constantly-steal-each-other-s-algorithms,"Do companies like Google, Amazon, Facebook, and Microsoft constantly steal each other’s algorithms?",14,2020-05-03,75500.0,9,0
132,19,https://www.quora.com/Does-Jeff-Bezos-still-forward-emails-from-customers-to-the-appropriate-group-at-Amazon,Does Jeff Bezos still forward emails from customers to the appropriate group at Amazon?,14,2022-04-06,1500000.0,10,0
133,408,https://www.quora.com/What-is-the-corporate-culture-like-at-Apple-How-is-the-culture-different-than-other-companies,What is the corporate culture like at Apple? How is the culture different than other companies?,14,2020-11-26,23900.0,34,0
134,482,https://www.quora.com/What-happens-on-New-Hires-Day-in-Microsoft,What happens on New Hire's Day in Microsoft?,13,2019-08-12,30100.0,4,0
135,450,https://www.quora.com/Which-are-the-tier-1-companies-in-India,Which are the tier 1 companies in India?,13,2021-10-17,84400.0,5,0
