,Question_url,Question,Followers,Last_followed_date,Views,answers,merged
82,https://www.quora.com/Do-big-companies-like-Google-and-Amazon-fire-software-developers-when-there-is-a-buggy-release,Do big companies like Google and Amazon fire software developers when there is a buggy release?,40,"Oct 19, 2020",1200000.0,59,0
79,https://www.quora.com/What-did-Jeff-Bezos-do-to-set-Amazon-apart-from-all-the-other-early-dot-com-companies,What did Jeff Bezos do to set Amazon apart from all the other early dot-com companies?,39,Jun 5,169600.0,12,0
34,https://www.quora.com/Why-did-the-founders-of-Microsoft-Bill-Gates-and-Google-Larry-Page-and-Sergey-Brin-retire-from-their-own-companies-so-young-while-Jeff-Bezos-still-runs-Amazon-for-the-foreseeable-future,Why did the founders of Microsoft (Bill Gates) and Google (Larry Page and Sergey Brin) retire from their own companies so young while Jeff Bezos still runs Amazon for the foreseeable future?,35,"Mar 6, 2021",234200.0,11,0
0,https://www.quora.com/Do-very-senior-software-architects-in-Google-Amazon-Facebook-Microsoft-still-write-code,Do very senior software architects in Google/Amazon/Facebook/Microsoft still write code?,34,Jul 14,524900.0,9,0
4,https://www.quora.com/How-would-Amazon-Books-Amazons-new-physical-bookstore-be-different-from-conventional-bookstores,"How would Amazon Books, Amazon's new physical bookstore, be different from conventional bookstores?",32,"May 30, 2019",49700.0,3,0
43,https://www.quora.com/To-what-extent-are-Amazon-and-Google-competitors,To what extent are Amazon and Google competitors?,31,"Oct 12, 2020",83700.0,5,4
58,https://www.quora.com/Why-is-recursion-used-so-commonly-in-software-engineering-interview-questions-at-software-companies-like-Google-Facebook-and-Amazon-but-is-so-rarely-used-in-real-work,"Why is recursion used so commonly in software engineering interview questions at software companies like Google, Facebook, and Amazon, but is so rarely used in real work?",31,"Jan 27, 2020",156900.0,66,0
22,https://www.quora.com/How-was-Jeff-Bezos-able-to-keep-75-of-his-stock-in-Amazon-after-finalizing-his-divorce,How was Jeff Bezos able to keep 75% of his stock in Amazon after finalizing his divorce?,30,"Apr 22, 2021",1400000.0,15,2
18,https://www.quora.com/How-has-Amazon-FBA-changed-your-life,How has Amazon FBA changed your life?,28,"Oct 19, 2020",77500.0,6,0
69,https://www.quora.com/Why-is-Amazon-so-customer-focused,Why is Amazon so customer focused?,21,"Oct 28, 2018",144200.0,13,0
9,https://www.quora.com/Why-did-Jeff-Bezos-leave-Amazon,Why did Jeff Bezos leave Amazon?,20,Jun 28,2400000.0,12,2
35,https://www.quora.com/What-are-some-unusual-or-fun-things-you-can-do-with-Amazons-Alexa,What are some unusual or fun things you can do with Amazon's Alexa?,19,"Jul 13, 2021",32800.0,8,0
25,https://www.quora.com/What-stops-Walmart-from-beating-Amazon-in-online-shopping-%25F0%259D%2597%259C%25F0%259D%2597%25B3-%25F0%259D%2597%25AC%25F0%259D%2597%25BC%25F0%259D%2598%2582-%25F0%259D%2597%25B5%25F0%259D%2597%25AE%25F0%259D%2598%2583%25F0%259D%2597%25B2,What stops Walmart from beating Amazon in online shopping? ¿𝗜𝗳 𝗬𝗼𝘂 𝗵𝗮𝘃𝗲 𝗶𝘀𝘀𝘂𝗲 𝘄𝗶𝘁𝗵 𝘆𝗼𝘂𝗿 & ( WalMart )𝗖𝗢𝗡𝗧𝗔𝗖𝗧 𝗡𝗢𝗪  ((+𝟭(𝟴𝟮𝟴)𝟰𝟳𝟳-𝟰𝟮.𝟳𝟳 )) 𝗢𝘂𝗿 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹 WalMart 𝗖𝘂𝘀𝘁𝗼𝗺𝗲𝗿 𝗦𝗲𝗿𝘃𝗶𝗰𝗲 𝗣𝗵𝗼𝗻𝗲 𝗡𝘂𝗺𝗯𝗲𝗿?,19,Aug 18,237000.0,12,0
63,https://www.quora.com/Will-Netflix-ever-move-from-using-AWS-to-using-Azure,Will Netflix ever move from using AWS to using Azure?,18,"Aug 13, 2020",79000.0,5,0
13,https://www.quora.com/What-were-the-most-ill-advised-products-to-sell-on-Amazon,What were the most ill-advised products to sell on Amazon?,17,Aug 18,258800.0,7,0
23,https://www.quora.com/How-is-it-that-Amazon-doesnt-make-a-profit-yet-Jeff-Bezos-net-worth-is-in-the-billions,"How is it that Amazon doesn't make a profit, yet Jeff Bezos' net worth is in the billions?",15,"Oct 7, 2021",75600.0,9,0
14,https://www.quora.com/Do-companies-like-Google-Amazon-Facebook-and-Microsoft-constantly-steal-each-other-s-algorithms,"Do companies like Google, Amazon, Facebook, and Microsoft constantly steal each other’s algorithms?",14,"May 3, 2020",75400.0,9,0
64,https://www.quora.com/Does-Jeff-Bezos-still-forward-emails-from-customers-to-the-appropriate-group-at-Amazon,Does Jeff Bezos still forward emails from customers to the appropriate group at Amazon?,14,Apr 6,1500000.0,10,0
36,https://www.quora.com/Why-doesn-t-Apple-Amazon-or-Google-buy-out-Netflix,"Why doesn’t Apple, Amazon or Google buy out Netflix?",13,"Jun 21, 2020",276500.0,11,0
27,https://www.quora.com/Which-of-the-Big-4-tech-firms-Amazon-Google-Microsoft-Apple-is-best-positioned-for-the-future,"Which of the Big 4 tech firms (Amazon, Google, Microsoft, Apple) is best positioned for the future?",12,"Jun 5, 2020",138700.0,4,0
37,https://www.quora.com/Why-has-Google-fallen-well-behind-rivals-Amazon-and-Microsoft-in-cloud-leadership,Why has Google fallen well behind rivals Amazon and Microsoft in cloud leadership?,11,"Jun 13, 2019",66300.0,3,0
57,https://www.quora.com/What-is-the-point-of-a-startup-if-big-companies-like-Google-and-Amazon-can-copy-it-and-beat-someone-in-their-own-game,What is the point of a startup if big companies like Google and Amazon can copy it and beat someone in their own game?,11,"Jan 2, 2018",14600.0,5,0
26,https://www.quora.com/What-does-Amazon-do-with-all-the-unsold-stuff,What does Amazon do with all the unsold stuff?,11,Jan 31,921000.0,12,2
61,https://www.quora.com/What-will-happen-if-I-exclude-top-giants-like-Google-Amazon-Microsoft-Apple-and-Facebook-from-my-daily-life,"What will happen if I exclude top giants like Google, Amazon, Microsoft, Apple, and Facebook from my daily life?",11,"Apr 11, 2020",49200.0,15,2
29,https://www.quora.com/Why-do-companies-so-often-ship-a-small-item-in-a-huge-cardboard-box,Why do companies so often ship a small item in a huge cardboard box?,11,Jun 30,232600.0,100,0
47,https://www.quora.com/Is-Google-still-an-exceptional-place-to-work-or-has-it-transformed-into-just-another-big-corporate-environment-like-Microsoft-Amazon-and-IBM,"Is Google still an exceptional place to work or has it transformed into just another big corporate environment like Microsoft, Amazon, and IBM?",10,"Dec 28, 2019",72200.0,9,0
5,https://www.quora.com/I-am-writing-a-book-almost-done-and-I-plan-on-publishing-on-Amazon-Im-scared-I-wont-make-sales-since-it-s-my-first-time-publishing-What-should-I-do,"I am writing a book, almost done and I plan on publishing on Amazon. I'm scared I won't make sales since it’s my first time publishing. What should I do?",10,May 14,334700.0,45,0
46,https://www.quora.com/If-Jeff-Bezos-gave-you-a-billion-and-told-you-to-not-spend-a-penny-for-one-year-to-get-a-total-of-10-billion-would-you-listen,"If Jeff Bezos gave you a billion and told you to not spend a penny for one year to get a total of 10 billion, would you listen?",10,"Dec 17, 2020",760900.0,100,0
32,https://www.quora.com/Will-the-Amazon-minimum-wage-increase-affect-its-growth,Will the Amazon minimum wage increase affect its growth?,9,"Apr 11, 2020",89300.0,7,0
73,https://www.quora.com/What-is-the-controversy-surrounding-Amazon-New-York-and-tax-breaks,"What is the controversy surrounding Amazon, New York, and tax breaks?",9,"Feb 22, 2019",89100.0,9,0
39,https://www.quora.com/Why-do-I-occasionally-find-ridiculously-high-prices-listed-for-mundane-items-offered-on-Amazon-com-such-as-an-ordinary-mouse-pad-for-129-999,"Why do I occasionally find ridiculously high prices listed for mundane items offered on Amazon.com, such as an ordinary mouse pad for $129,999?",9,Aug 29,88300.0,11,0
6,https://www.quora.com/How-is-Costco-able-to-not-only-compete-against-Amazon-but-also-thrive-What-does-Costco-have-that-Amazon-doesnt,How is Costco able to not only compete against Amazon but also thrive? What does Costco have that Amazon doesn't?,9,"Oct 27, 2019",104200.0,14,0
55,https://www.quora.com/Bernie-Sanders-said-that-if-you-paid-the-119-annual-fee-to-become-an-Amazon-Prime-member-you-paid-more-to-Amazon-than-it-paid-in-taxes-Is-he-right,"Bernie Sanders said that if you paid the $119 annual fee to become an Amazon Prime member, you paid more to Amazon than it paid in taxes. Is he right?",9,"May 26, 2019",93700.0,16,0
17,https://www.quora.com/Could-tech-giants-like-Google-Facebook-Amazon-Microsoft-Adobe-Oracle-etc-adopt-and-rebuild-one-of-the-poor-towns-in-the-US-into-the-new-Silicon-Valley-If-not-then-why-not-If-yes-then-how-could-they-do-it,"Could tech giants like Google, Facebook, Amazon, Microsoft, Adobe, Oracle, etc., adopt and rebuild one of the poor towns in the US into the new Silicon Valley? If not, then why not? If yes, then how could they do it?",8,"Mar 6, 2018",16300.0,6,0
50,https://www.quora.com/Im-switching-from-Amazon-to-Microsoft-in-Bangalore-on-the-same-base-package-I-m-an-SDE-2-at-Amazon-and-Microsoft-is-offering-the-same-base-pay-should-I-join-Microsoft,"I'm switching from Amazon to Microsoft in Bangalore on the same base package. I’m an SDE-2 at Amazon and Microsoft is offering the same base pay, should I join Microsoft?",8,May 13,834600.0,6,0
74,https://www.quora.com/Where-do-you-see-Google-Amazon-and-Microsoft-5-years-from-now-in-the-military-business-because-of-artificial-intelligence-projects,"Where do you see Google, Amazon, and Microsoft 5 years from now in the military business because of artificial intelligence projects?",8,"Mar 16, 2020",66100.0,6,0
20,https://www.quora.com/What-makes-Amazon-pay-less-taxes,What makes Amazon pay less taxes?,7,"Jan 6, 2018",23300.0,5,0
33,https://www.quora.com/What-happens-if-you-make-a-claim-to-Amazon-that-a-package-did-not-arrive,What happens if you make a claim to Amazon that a package did not arrive?,7,Aug 14,567100.0,87,0
38,https://www.quora.com/Should-Amazon-withdraw-their-adaptation-of-Neil-Gaiman-and-Terry-Pratchetts-Good-Omens-because-a-minority-group-dont-like-it,"Should Amazon withdraw their adaptation of Neil Gaiman and Terry Pratchett's ""Good Omens"" because a minority group don't like it?",6,"Jul 15, 2019",27800.0,43,0
12,https://www.quora.com/Why-can-t-Amazon-just-shut-down-the-Staten-Island-warehouse-that-recently-voted-to-unionize,Why can’t Amazon just shut down the Staten Island warehouse that recently voted to unionize?,4,Apr 2,13700.0,3,0
60,https://www.quora.com/Does-AOC-regret-pushing-Amazon-out-of-New-York-since-the-pandemic-hit-and-Amazon-seems-to-be-one-of-the-few-businesses-still-standing,Does AOC regret pushing Amazon out of New York since the pandemic hit and Amazon seems to be one of the few businesses still standing?,4,"Feb 8, 2021",55600.0,12,0
10,https://www.quora.com/Can-shareholders-vote-Jeff-Bezos-out-of-Amazon,Can shareholders vote Jeff Bezos out of Amazon?,4,Mar 24,231500.0,23,0
75,https://www.quora.com/Who-do-you-trust-more-Elon-Musk-or-Jeff-Bezos,"Who do you trust more, Elon Musk or Jeff Bezos?",4,"Apr 26, 2021",155800.0,23,0
45,https://www.quora.com/What-did-Amazon-see-that-other-companies-were-blind-to,What did Amazon see that other companies were blind to?,3,Sep 4,17700.0,2,0
52,https://www.quora.com/Does-Jeff-Bezos-Blue-Origin-have-as-much-success-as-SpaceX,Does Jeff Bezos Blue Origin have as much success as SpaceX?,3,"Feb 7, 2020",42900.0,4,0
76,https://www.quora.com/How-did-Jeff-Bezos-become-rich,How did Jeff Bezos become rich?,3,"Aug 10, 2021",52600.0,4,0
21,https://www.quora.com/Do-Google-Facebook-Amazon-and-Microsoft-employees-have-office-desk-phones-or-are-they-supplied-with-company-mobile-phones,"Do Google, Facebook, Amazon, and Microsoft employees have office desk phones or are they supplied with company mobile phones?",3,"Mar 23, 2020",41100.0,10,0
77,https://www.quora.com/Why-do-massive-corporations-such-as-Amazon-and-Apple-push-progressive-politics,Why do massive corporations such as Amazon and Apple push progressive politics?,3,"Jun 20, 2020",45800.0,15,0
80,https://www.quora.com/Caught-neighborhood-kids-on-camera-stealing-my-Amazon-package-should-I-post-the-video-online-and-call-the-police,"Caught neighborhood kids on camera stealing my Amazon package, should I post the video online and call the police?",3,"Jun 24, 2020",130699.99999999999,41,0
62,https://www.quora.com/With-the-increasing-concern-of-data-privacy-how-will-the-government-regulation-affect-the-tech-companies-profitability-from-data-collection-like-Google-Facebook-Amazon-Yahoo-Apple-and-so-on,"With the increasing concern of data privacy, how will the government regulation affect the tech companies' profitability from data collection like Google, Facebook, Amazon, Yahoo, Apple and so on?",3,"Aug 18, 2020",12500.0,46,0
44,https://www.quora.com/Why-do-some-companies-like-Google-Amazon-and-Facebook-have-a-no-feedback-policy-when-rejecting-candidates,"Why do some companies like Google, Amazon, and Facebook have a no feedback policy when rejecting candidates?",2,Feb 15,111300.0,4,0
48,https://www.quora.com/Why-wasn-t-Microsoft-included-in-FAANG-Facebook-Amazon-Apple-Netflix-Google-list-of-companies-every-software-developer-wants-to-work-for-besides-FAANG-not-containing-an-M,"Why wasn’t Microsoft included in FAANG (Facebook, Amazon, Apple, Netflix, Google) list of companies every software developer wants to work for (besides FAANG not containing an M)?",2,"Jan 24, 2021",142500.0,7,0
24,https://www.quora.com/What-is-so-controversial-about-Amazons-Good-Omens,"What is so controversial about Amazon's ""Good Omens""?",2,"Jan 18, 2020",18700.0,10,0
54,https://www.quora.com/What-do-you-think-of-the-argument-that-if-Jeff-Bezos-s-annual-income-was-split-among-his-employees-they-would-only-get-an-extra-dollar,"What do you think of the argument that if Jeff Bezos’s annual income was split among his employees, they would only get an extra dollar?",2,"Dec 26, 2021",191800.0,22,0
72,https://www.quora.com/Why-do-people-think-that-Amazons-Rings-of-Power-will-be-bad,Why do people think that Amazon's Rings of Power will be bad?,2,Mar 2,58400.0,32,0
65,https://www.quora.com/Why-are-cons-upset-and-call-Amazon-Power-of-the-Rings-woke-because-it-uses-minorities-to-play-certain-characters-when-this-is-a-fantasy-world-with-Elves-Wizards-Dwarfs-dragons-etc,"Why are cons upset and call Amazon ""Power of the Rings"" woke because it uses minorities to play certain characters when this is a fantasy world with Elves, Wizards, Dwarfs, dragons, etc.?",2,Sep 7,81000.0,36,0
7,https://www.quora.com/What-are-the-best-decisions-Jeff-Bezos-has-ever-made-as-the-CEO-of-Amazon,What are the best decisions Jeff Bezos has ever made as the CEO of Amazon?,1,"Mar 22, 2021",96000.0,5,0
78,https://www.quora.com/Why-are-Amazon-warehouse-workers-so-unhappy,Why are Amazon warehouse workers so unhappy?,1,Aug 17,5100.0,5,0
